Attendance Area,School,Count
Catharine Blaine K-8,Priv/Paroch Sped,2
Catharine Blaine K-8,B.F. Day,1
Catharine Blaine K-8,Coe,1
Catharine Blaine K-8,John Hay,1
Catharine Blaine K-8,North Beach,1
Coe,Coe,437
Coe,Cascadia,28
Coe,Queen Anne,28
Coe,John Hay,16
Coe,Magnolia,5
Coe,Cascade Parent Partnership,4
Coe,John Stanford Intl,4
Coe,Salmon Bay K-8,3
Coe,McDonald Intl,2
Coe,Adams,1
Coe,Exp. Ed. Unit,1
Coe,View Ridge,1
John Hay,John Hay,264
John Hay,Queen Anne,111
John Hay,Cascadia,30
John Hay,John Stanford Intl,5
John Hay,B.F. Day,2
John Hay,Licton Springs K-8,2
John Hay,McDonald Intl,2
John Hay,Cascade Parent Partnership,1
John Hay,Coe,1
John Hay,Hazel Wolf K-8,1
John Hay,Salmon Bay K-8,1
John Hay,TOPS K-8,1
Lawton,Lawton,308
Lawton,Cascadia,27
Lawton,John Stanford Intl,13
Lawton,Catharine Blaine K-8,10
Lawton,Magnolia,9
Lawton,Queen Anne,7
Lawton,John Hay,5
Lawton,Cascade Parent Partnership,4
Lawton,McDonald Intl,3
Lawton,Salmon Bay K-8,3
Lawton,Adams,2
Lawton,Stevens,2
Lawton,Whittier,2
Lawton,Coe,1
Lawton,Daniel Bagley,1
Lawton,Hazel Wolf K-8,1
Lawton,Lowell,1
Lawton,Priv/Paroch Sped,1
Magnolia,Magnolia,283
Magnolia,Catharine Blaine K-8,32
Magnolia,Lawton,15
Magnolia,Cascadia,12
Magnolia,John Hay,4
Magnolia,John Stanford Intl,4
Magnolia,Coe,3
Magnolia,McDonald Intl,3
Magnolia,Queen Anne,3
Magnolia,B.F. Day,2
Magnolia,North Beach,2
Magnolia,Salmon Bay K-8,2
Magnolia,Cascade Parent Partnership,1
Magnolia,Green Lake,1
Leschi,Leschi,274
Leschi,Thurgood Marshall,26
Leschi,TOPS K-8,17
Leschi,Madrona,6
Leschi,Bailey Gatzert,5
Leschi,Cascade Parent Partnership,4
Leschi,Lowell,4
Leschi,Montlake,3
Leschi,Non Public Agencies,3
Leschi,Beacon Hill Intl,2
Leschi,John Muir,2
Leschi,McGilvra,2
Leschi,Queen Anne,2
Leschi,Adams,1
Leschi,Dunlap,1
Leschi,Martin Luther King,1
Leschi,Orca K-8,1
Leschi,Stevens,1
Lowell,Lowell,243
Lowell,TOPS K-8,81
Lowell,Queen Anne,31
Lowell,Stevens,14
Lowell,Bailey Gatzert,9
Lowell,John Stanford Intl,9
Lowell,Cascade Parent Partnership,7
Lowell,John Hay,5
Lowell,Thurgood Marshall,5
Lowell,McDonald Intl,3
Lowell,Montlake,3
Lowell,Thornton Creek,3
Lowell,Madrona,2
Lowell,McGilvra,2
Lowell,Olympic View,2
Lowell,Salmon Bay K-8,1
Madrona,Madrona,185
Madrona,TOPS K-8,22
Madrona,Thurgood Marshall,9
Madrona,Leschi,6
Madrona,Stevens,6
Madrona,John Stanford Intl,5
Madrona,Lowell,5
Madrona,Bailey Gatzert,4
Madrona,Queen Anne,3
Madrona,Hawthorne,2
Madrona,Montlake,2
Madrona,Cascade Parent Partnership,1
Madrona,Catharine Blaine K-8,1
Madrona,Exp. Ed. Unit,1
Madrona,John Muir,1
Madrona,McDonald Intl,1
Madrona,McGilvra,1
Madrona,Non Public Agencies,1
Madrona,Sand Point,1
Madrona,South Shore PK-8,1
McGilvra,McGilvra,212
McGilvra,Thurgood Marshall,14
McGilvra,TOPS K-8,10
McGilvra,Madrona,6
McGilvra,Stevens,5
McGilvra,Montlake,4
McGilvra,John Stanford Intl,3
McGilvra,McDonald Intl,3
McGilvra,Leschi,2
McGilvra,Thornton Creek,2
McGilvra,Decatur,1
McGilvra,Lowell,1
McGilvra,Non Public Agencies,1
McGilvra,Queen Anne,1
Montlake,Montlake,169
Montlake,TOPS K-8,56
Montlake,Thurgood Marshall,12
Montlake,John Stanford Intl,5
Montlake,Queen Anne,5
Montlake,McDonald Intl,2
Montlake,Lowell,1
Montlake,Non Public Agencies,1
Montlake,Thornton Creek,1
Montlake,Wedgwood,1
Montlake,Whittier,1
Stevens,Stevens,144
Stevens,Thurgood Marshall,12
Stevens,TOPS K-8,6
Stevens,Lowell,5
Stevens,Madrona,5
Stevens,Queen Anne,5
Stevens,John Stanford Intl,4
Stevens,McDonald Intl,2
Stevens,Cascade Parent Partnership,1
Stevens,McGilvra,1
TOPS K-8,Meany,105
TOPS K-8,Washington,22
TOPS K-8,Aki Kurose,10
TOPS K-8,Mercer Intl,10
TOPS K-8,David T. Denny Intl,7
TOPS K-8,Eckstein,6
TOPS K-8,Hamilton Intl,2
TOPS K-8,Madison,2
TOPS K-8,McClure,2
TOPS K-8,Out of District/Unknown,1
TOPS K-8,Jane Addams MS,1
TOPS K-8,Robert Eagle Staff,1
Beacon Hill Intl,Beacon Hill Intl,272
Beacon Hill Intl,Kimball,7
Beacon Hill Intl,Queen Anne,6
Beacon Hill Intl,Bailey Gatzert,4
Beacon Hill Intl,Thurgood Marshall,4
Beacon Hill Intl,McDonald Intl,3
Beacon Hill Intl,Orca K-8,2
Beacon Hill Intl,Pathfinder K-8,2
Beacon Hill Intl,TOPS K-8,2
Beacon Hill Intl,Cascadia,1
Beacon Hill Intl,Exp. Ed. Unit,1
Beacon Hill Intl,Graham Hill,1
Beacon Hill Intl,John Muir,1
Beacon Hill Intl,Lowell,1
Beacon Hill Intl,Maple,1
Beacon Hill Intl,Martin Luther King,1
Beacon Hill Intl,Stevens,1
Dearborn Park Intl,Dearborn Park Intl,224
Dearborn Park Intl,Maple,51
Dearborn Park Intl,Queen Anne,12
Dearborn Park Intl,Wing Luke,7
Dearborn Park Intl,South Shore PK-8,6
Dearborn Park Intl,Kimball,5
Dearborn Park Intl,Rising Star,5
Dearborn Park Intl,Thurgood Marshall,4
Dearborn Park Intl,Graham Hill,3
Dearborn Park Intl,Hawthorne,3
Dearborn Park Intl,Orca K-8,3
Dearborn Park Intl,TOPS K-8,3
Dearborn Park Intl,John Muir,2
Dearborn Park Intl,John Stanford Intl,2
Dearborn Park Intl,Martin Luther King,1
Dearborn Park Intl,Rainier View,1
Dearborn Park Intl,Thornton Creek,1
Maple,Maple,356
Maple,Queen Anne,11
Maple,Beacon Hill Intl,10
Maple,Thurgood Marshall,9
Maple,Orca K-8,8
Maple,TOPS K-8,7
Maple,Wing Luke,5
Maple,Rising Star,3
Maple,Kimball,2
Maple,South Shore PK-8,2
Maple,Dearborn Park Intl,1
Maple,Exp. Ed. Unit,1
Maple,Hawthorne,1
Maple,Montlake,1
Maple,West Woodland,1
Rising Star,Rising Star,223
Rising Star,Wing Luke,20
Rising Star,Maple,17
Rising Star,Dearborn Park Intl,12
Rising Star,Orca K-8,12
Rising Star,South Shore PK-8,12
Rising Star,Queen Anne,6
Rising Star,Kimball,5
Rising Star,Thurgood Marshall,5
Rising Star,Graham Hill,3
Rising Star,Dunlap,2
Rising Star,Lowell,2
Rising Star,Martin Luther King,2
Rising Star,Rainier View,2
Rising Star,Cascade Parent Partnership,1
Rising Star,Concord Intl,1
Rising Star,Hawthorne,1
Rising Star,John Muir,1
Rising Star,Leschi,1
Rising Star,Pathfinder K-8,1
Rising Star,STEM K-8,1
Rising Star,TOPS K-8,1
Rising Star,West Seattle ES,1
Broadview-Thomson K-8,Broadview-Thomson K-8,355
Broadview-Thomson K-8,Hazel Wolf K-8,19
Broadview-Thomson K-8,Cascadia,17
Broadview-Thomson K-8,Licton Springs K-8,15
Broadview-Thomson K-8,Queen Anne,15
Broadview-Thomson K-8,Salmon Bay K-8,14
Broadview-Thomson K-8,McDonald Intl,10
Broadview-Thomson K-8,Northgate,8
Broadview-Thomson K-8,Greenwood,7
Broadview-Thomson K-8,North Beach,7
Broadview-Thomson K-8,Viewlands,7
Broadview-Thomson K-8,John Stanford Intl,6
Broadview-Thomson K-8,Whittier,6
Broadview-Thomson K-8,Daniel Bagley,5
Broadview-Thomson K-8,TOPS K-8,5
Broadview-Thomson K-8,Cascade Parent Partnership,4
Broadview-Thomson K-8,Cedar Park,4
Broadview-Thomson K-8,Olympic Hills,3
Broadview-Thomson K-8,Adams,2
Broadview-Thomson K-8,B. F. Day,2
Broadview-Thomson K-8,Laurelhurst,2
Broadview-Thomson K-8,Loyal Heights,2
Broadview-Thomson K-8,Olympic View,2
Broadview-Thomson K-8,Green Lake,1
Broadview-Thomson K-8,Thornton Creek,1
Broadview-Thomson K-8,West Woodland,1
Daniel Bagley,Daniel Bagley,275
